size,pronoun,prime_verb,pd_bias,pd_bias_ratio,target_verb,DO-DO,DO-PD,PD-DO,PD-PD
13b,True,FEED,0.1045993938720084,1.067222396531625,SAVE,0.7408846918372461,0.2591153081627538,0.4995360251121778,0.5004639748878221
13b,True,FEED,0.1045993938720084,1.067222396531625,SELL,0.9213617881870545,0.07863821181294536,0.5767713362128802,0.4232286637871197
13b,True,FEED,0.1045993938720084,1.067222396531625,SEND,0.8888451196522459,0.1111548803477541,0.6806389781924266,0.31936102180757336
13b,True,FEED,0.1045993938720084,1.067222396531625,SHOW,0.9785744180509414,0.021425581949058557,0.8468673474224514,0.1531326525775487
13b,True,FEED,0.1045993938720084,1.067222396531625,SUPPLY,0.8718382239568185,0.1281617760431815,0.5643872734261193,0.4356127265738807
13b,True,FEED,0.1045993938720084,1.067222396531625,DESIGN,0.2741967741262778,0.7258032258737223,0.14689516772376066,0.8531048322762393
13b,True,FEED,0.1045993938720084,1.067222396531625,TAKE,0.6149379925671371,0.38506200743286295,0.4058427141519521,0.5941572858480478
13b,True,FEED,0.1045993938720084,1.067222396531625,BUY,0.8626745804204137,0.13732541957958636,0.6916717801992587,0.30832821980074143
13b,True,FEED,0.1045993938720084,1.067222396531625,CATCH,0.5681458713091067,0.4318541286908934,0.504680397267296,0.4953196027327041
13b,True,FEED,0.1045993938720084,1.067222396531625,DELIVER,0.9110949291879322,0.08890507081206779,0.8494034717460067,0.1505965282539932
13b,True,FEED,0.1045993938720084,1.067222396531625,THROW,0.7797119690332233,0.2202880309667767,0.5611096116793296,0.43889038832067034
13b,True,FEED,0.1045993938720084,1.067222396531625,PROMISE,0.9590529449109374,0.040947055089062545,0.8271255866571727,0.17287441334282744
13b,True,BUY,0.26758818791229677,1.040352750901259,BRING,0.8972217449969948,0.10277825500300526,0.8308244907689061,0.16917550923109378
13b,True,BUY,0.26758818791229677,1.040352750901259,DRAW,0.705680511587995,0.294319488412005,0.40853838903776024,0.5914616109622398
13b,True,BUY,0.26758818791229677,1.040352750901259,FIND,0.7002958191321337,0.2997041808678663,0.37176060238886083,0.6282393976111392
13b,True,BUY,0.26758818791229677,1.040352750901259,GET,0.8707973148881435,0.1292026851118565,0.6062947364966159,0.3937052635033841
13b,True,BUY,0.26758818791229677,1.040352750901259,GIVE,0.9441533217883662,0.05584667821163386,0.8593520890555797,0.14064791094442033
