size,pronoun,target_verb,PD-PD_slope,PD-PD_intercept,DO-PD_slope,DO-PD_intercept,PD-PD_R2,PD-PD_RMSE,DO-PD_R2,DO-PD_RMSE
7b,False,MAKE,0.07822639323363693,0.7780690344211648,-0.12622285804915026,0.674596588635282,0.050540175021436595,0.055138037592834255,0.08931061455829736,0.06554652629256777
7b,False,PURCHASE,-0.03602833357880683,0.9264077508686763,-0.08387946596381524,0.7252415280320147,0.043295665264567074,0.02691112972477159,0.050009024505591304,0.058091460776534314
7b,False,SAVE,-0.0767350426595132,0.8366008613728937,-0.2105964482705873,0.6202979433808722,0.048149287757508596,0.05573904252453866,0.18163797197942533,0.07302923219722188
7b,False,SELL,0.026393789508788144,0.8514926282217135,0.10058283813762968,0.619290154392046,0.011174888414877238,0.03945095386724292,0.07622284609016927,0.05563941149384778
7b,False,SEND,0.015357344474602628,0.8348278770177953,0.06313985443626784,0.60035235506189,0.0038239834810727125,0.04034915331720497,0.02843405743390559,0.06007981165028391
7b,False,SHOW,0.025398816353516363,0.6188710749419076,0.1490449189352272,0.33648641708833477,0.007363172352129244,0.04656950585357879,0.1737434898632062,0.05132698983292222
7b,False,SUPPLY,-0.0765475475370246,0.91702360910885,-0.11962555464928185,0.6582202581478205,0.08592033390145237,0.039304210868101874,0.12096715711673467,0.0507640814353331
7b,False,DESIGN,-0.017085247838654546,0.971607038309747,-0.1920116805623124,0.9629215489628006,0.022961450058502253,0.016908013809425117,0.24297162353017554,0.05141869699682124
7b,False,TAKE,0.027647994224280135,0.9164586841312639,-0.06847690644992893,0.8264419677923479,0.050405560658179915,0.018680265959515965,0.024224731692172208,0.06765176259803207
7b,False,FEED,0.03390057474673882,0.5943036415739071,0.025043242707689786,0.387773088971977,0.014430205079825176,0.04451117462480584,0.008671425468542826,0.04254109654010028
7b,False,BUY,0.039591288435785264,0.66919204996911,-0.04394351821823468,0.45600854390632295,0.007694383110097847,0.06927000582794357,0.01678871118488634,0.05181068579105015
7b,False,CATCH,0.030240864368020898,0.7666337324160839,-0.11659954892797096,0.5837123475619705,0.007707086438561883,0.05573146016640153,0.042348292246403685,0.09005630100847307
7b,False,DELIVER,0.13491025006687263,0.5708651107764797,-0.08623093486210494,0.37439986694378496,0.030736519450353827,0.11731624753187538,0.059756133681230894,0.05296777602684886
7b,False,THROW,-0.009672493130448863,0.7493035461882813,-0.11739724135108813,0.5968324461261462,0.0009687859817695266,0.05033920679309313,0.12622302858774737,0.050058890888829075
7b,False,PROMISE,-0.048643914780205987,0.5849605047336485,-0.009701312442437646,0.35059365384844277,0.02274717388072245,0.04667460742633692,0.003265316711838606,0.024812471921448465
7b-chat,True,BRING,-0.04744414128542017,0.21970069177074936,0.06486974179212214,0.06920385513999718,0.03793946826085426,0.049519461782856905,0.2701514566574347,0.022100018196690236
7b-chat,True,DRAW,0.23622911601406935,0.46497030096936737,-0.00981827424569317,0.32797062068647415,0.32844156711741135,0.06939405008241016,0.002096394086340103,0.044006715583285214
7b-chat,True,FIND,0.2390804225840154,0.2877639394528458,-0.021849372224946196,0.17189392878127327,0.32345275497687986,0.07287562238309087,0.024366898501067547,0.029139139590164915
7b-chat,True,GET,0.2848761776602871,0.2710095326888869,0.0024077677786786544,0.1610656614669554,0.35350287018974624,0.08116624343702414,0.00024226391457493612,0.03258742946325866
7b-chat,True,GIVE,-0.06769159522531,0.13475503358151933,0.02694234999036543,0.02894160367293807,0.12137378889816375,0.036486290036652984,0.17171999387356363,0.011854110324391447
7b-chat,True,KEEP,0.1075689903929913,0.652997057360199,-0.3070052029703926,0.534045261141721,0.0697466213121366,0.0806914252671301,0.4669648550943438,0.06737252330332152
7b-chat,True,LEAVE,0.2027484664146351,0.4639689790289775,-0.07210300546439066,0.38913125447594615,0.2968663089903707,0.06558909393350576,0.10385788626948889,0.04452025340882033
7b-chat,True,MAKE,0.28005972602402557,0.48156859011279696,-0.10571000788791048,0.3863096461649342,0.43627513620307135,0.06660990261119841,0.16135371895464135,0.050425568527559986
7b-chat,True,PURCHASE,0.13390274909543928,0.6800419635670188,-0.18812141724736578,0.5977109164422153,0.22871437669352923,0.04846725581257013,0.5707912466160258,0.03215377191372513
7b-chat,True,SAVE,0.09288456271691928,0.3789745022840311,-0.14939372931276623,0.26403157287279694,0.0671947643571883,0.07303182891475546,0.3989563379988348,0.03869577606883731
7b-chat,True,SELL,-0.13215356788770324,0.29319917264816814,0.00991907976748293,0.1036695043123193,0.22274000691060014,0.05145500969914598,0.005398439040146585,0.028062514264348103
7b-chat,True,SEND,-0.20731880408821285,0.4309913007828459,0.05551320101775892,0.12653787409408987,0.2417784148297908,0.07728406981095474,0.0718792441793491,0.04199124413431087
