size,prime_verb,pd_bias,pd_bias_ratio,target_verb,DO-DO,DO-PD,PD-DO,PD-PD
7b,LEAVE,0.5133272384475933,0.9997201597467301,PROMISE,0.817302383710568,0.18269761628943207,0.729881346550354,0.2701186534496461
7b,MAKE,0.5081106443200345,1.0017286388244113,BRING,0.5843789274827532,0.4156210725172468,0.4781096409140545,0.5218903590859454
7b,MAKE,0.5081106443200345,1.0017286388244113,DRAW,0.5247382071399044,0.4752617928600957,0.25967984804106004,0.7403201519589399
7b,MAKE,0.5081106443200345,1.0017286388244113,FIND,0.650677556729728,0.3493224432702719,0.30919913388209946,0.6908008661179005
7b,MAKE,0.5081106443200345,1.0017286388244113,GET,0.7094280965333294,0.2905719034666706,0.38655014081471106,0.6134498591852889
7b,MAKE,0.5081106443200345,1.0017286388244113,GIVE,0.6976872341354797,0.30231276586452016,0.5761255508100642,0.4238744491899358
7b,MAKE,0.5081106443200345,1.0017286388244113,KEEP,0.5521510580902192,0.4478489419097808,0.2440853596684545,0.7559146403315455
7b,MAKE,0.5081106443200345,1.0017286388244113,LEAVE,0.5372916422780175,0.46270835772198254,0.33324620898431756,0.6667537910156824
7b,MAKE,0.5081106443200345,1.0017286388244113,PURCHASE,0.4015674883499124,0.5984325116500876,0.13578305158362108,0.8642169484163787
7b,MAKE,0.5081106443200345,1.0017286388244113,SAVE,0.6846908751247923,0.31530912487520757,0.3610750101424369,0.6389249898575631
7b,MAKE,0.5081106443200345,1.0017286388244113,SELL,0.5728041915795329,0.4271958084204671,0.4689966659674448,0.5310033340325551
7b,MAKE,0.5081106443200345,1.0017286388244113,SEND,0.5869755749905565,0.41302442500944353,0.4725448979953406,0.5274551020046594
7b,MAKE,0.5081106443200345,1.0017286388244113,SHOW,0.7238935535610156,0.2761064464389844,0.6768101224558659,0.32318987754413414
7b,MAKE,0.5081106443200345,1.0017286388244113,SUPPLY,0.6537653814675162,0.3462346185324839,0.4818636068417776,0.5181363931582225
7b,MAKE,0.5081106443200345,1.0017286388244113,DESIGN,0.2714230022532443,0.7285769977467557,0.04672969549793735,0.9532703045020626
7b,MAKE,0.5081106443200345,1.0017286388244113,TAKE,0.45537591990802284,0.5446240800919772,0.2522016654116745,0.7477983345883255
7b,MAKE,0.5081106443200345,1.0017286388244113,FEED,0.7661619851227954,0.23383801487720465,0.6413694272328238,0.35863057276717625
7b,MAKE,0.5081106443200345,1.0017286388244113,BUY,0.7020767356025922,0.29792326439740785,0.3985951620986594,0.6014048379013406
7b,MAKE,0.5081106443200345,1.0017286388244113,CATCH,0.547928930607765,0.45207106939223507,0.24145575029314376,0.7585442497068563
7b,MAKE,0.5081106443200345,1.0017286388244113,DELIVER,0.7763151968321812,0.2236848031678189,0.42602785549751176,0.5739721445024882
7b,MAKE,0.5081106443200345,1.0017286388244113,THROW,0.6282727523378507,0.3717272476621493,0.5135378395251178,0.48646216047488233
7b,MAKE,0.5081106443200345,1.0017286388244113,PROMISE,0.8064306209879801,0.19356937901201982,0.7078727970187936,0.2921272029812063
7b,PURCHASE,0.7562324865601094,0.9632789222349759,BRING,0.6037860143296522,0.3962139856703478,0.4806768220830642,0.5193231779169358
7b,PURCHASE,0.7562324865601094,0.9632789222349759,DRAW,0.5003944162215879,0.4996055837784121,0.293668099990936,0.7063319000090638
7b,PURCHASE,0.7562324865601094,0.9632789222349759,FIND,0.6652048754195764,0.33479512458042365,0.3714197655765998,0.6285802344234002
7b,PURCHASE,0.7562324865601094,0.9632789222349759,GET,0.7039776862849628,0.2960223137150372,0.37593544063779516,0.6240645593622048
7b,PURCHASE,0.7562324865601094,0.9632789222349759,GIVE,0.7062881122194139,0.29371188778058605,0.5887673771583897,0.4112326228416104
7b,PURCHASE,0.7562324865601094,0.9632789222349759,KEEP,0.5140219742236039,0.48597802577639615,0.2427702161241586,0.7572297838758414
7b,PURCHASE,0.7562324865601094,0.9632789222349759,LEAVE,0.5583333732703732,0.44166662672962675,0.32929442193837,0.6707055780616301
7b,PURCHASE,0.7562324865601094,0.9632789222349759,MAKE,0.4987330661914924,0.5012669338085076,0.25442963117338235,0.7455703688266176
7b,PURCHASE,0.7562324865601094,0.9632789222349759,SAVE,0.6672664288885577,0.33273357111144236,0.382896108886435,0.6171038911135649
7b,PURCHASE,0.7562324865601094,0.9632789222349759,SELL,0.6311079268299554,0.36889207317004463,0.4793573186708509,0.5206426813291491
7b,PURCHASE,0.7562324865601094,0.9632789222349759,SEND,0.6076699452763906,0.39233005472360927,0.47706397619689206,0.522936023803108
7b,PURCHASE,0.7562324865601094,0.9632789222349759,SHOW,0.7260380265087436,0.2739619734912564,0.6509188825127911,0.34908111748720894
7b,PURCHASE,0.7562324865601094,0.9632789222349759,SUPPLY,0.6682367521657946,0.33176324783420524,0.4610389547732177,0.5389610452267823
7b,PURCHASE,0.7562324865601094,0.9632789222349759,DESIGN,0.22812315056711474,0.7718768494328853,0.08014747039321798,0.919852529606782
7b,PURCHASE,0.7562324865601094,0.9632789222349759,TAKE,0.4411714018870781,0.558828598112922,0.2637646158477227,0.7362353841522774
7b,PURCHASE,0.7562324865601094,0.9632789222349759,FEED,0.7710130112962394,0.22898698870376058,0.6276489722742256,0.3723510277257745
