size,pronoun,squared,prime_verb,pd_bias,pd_bias_ratio,DO-DO,DO-PD,PD-DO,PD-PD
small,False,True,FEED,0.41623829130433077,1.0101847963646196,0.39539882667787934,0.6046011733221208,0.197611308448909,0.802388691551091
small,False,True,BUY,0.697593146461664,0.9756430669184085,0.48988339926143465,0.5101166007385655,0.20257110670939607,0.797428893290604
small,False,True,CATCH,0.6520611001668176,0.9814441641376629,0.46887572398411675,0.5311242760158833,0.19873969715479328,0.8012603028452068
small,False,True,DELIVER,0.6572450964314539,0.9812161070959093,0.4762915260199037,0.5237084739800962,0.20528586495855286,0.7947141350414471
small,False,True,THROW,0.6663332325012252,0.9780619971965417,0.4790847973980226,0.5209152026019774,0.22461355055696924,0.7753864494430308
small,False,True,PROMISE,0.3389881467209069,1.0204965975088982,0.3802379307040444,0.6197620692959556,0.19603281075082837,0.8039671892491717
small,False,False,BRING,0.8180421030610068,0.954050352786475,0.44246952643831516,0.5575304735616847,0.2213576667913677,0.7786423332086323
small,False,False,DRAW,0.8344661629554287,0.9509566375967714,0.4400333893508871,0.559966610649113,0.21024726117928888,0.7897527388207112
small,False,False,FIND,0.832445893973126,0.9542868698455603,0.4422399173689257,0.5577600826310743,0.1962666285706147,0.8037333714293853
small,False,False,GET,0.6459250458464543,0.9809269878115138,0.42968300862670533,0.5703169913732946,0.2044063766288595,0.7955936233711405
small,False,False,GIVE,0.42219387868963376,1.0108883045242674,0.3234069285101117,0.6765930714898881,0.1940839958547153,0.8059160041452846
small,False,False,KEEP,0.8592806402147817,0.9506101498638874,0.4558797695520561,0.5441202304479438,0.1926382392236526,0.8073617607763475
small,False,False,LEAVE,0.8882106742505979,0.9441367200721987,0.4254160480419691,0.5745839519580308,0.20418546192563375,0.7958145380743663
small,False,False,MAKE,0.7916990017608706,0.9507428220925993,0.37755793477905003,0.62244206522095,0.19371705779153778,0.8062829422084622
small,False,False,PURCHASE,0.9475316517769848,0.925644049061646,0.4854791437644558,0.5145208562355442,0.20931316552717638,0.7906868344728235
small,False,False,SAVE,0.8954584072586842,0.9419733086036101,0.4576250676133192,0.5423749323866808,0.2088109482942251,0.7911890517057749
small,False,False,SELL,0.8577945864583786,0.9468297523013812,0.4312542430842802,0.5687457569157198,0.23392150130342154,0.7660784986965785
small,False,False,SEND,0.8168025400559603,0.9584771955933826,0.4219815636631673,0.5780184363368327,0.22808748362088305,0.771912516379117
small,False,False,SHOW,0.4052449523709813,1.0120141999968062,0.33425463863166593,0.6657453613683341,0.1970304188561896,0.8029695811438103
small,False,False,SUPPLY,0.8430313354325352,0.9544149386759595,0.4247905283001095,0.5752094716998907,0.2147235502485394,0.7852764497514606
small,False,False,DESIGN,0.9840455244247182,0.8979821079265414,0.43361489325452307,0.5663851067454769,0.21596946751270088,0.7840305324872991
small,False,False,TAKE,0.9336755605514614,0.9250273165941759,0.4770094571621213,0.5229905428378787,0.2344543497923103,0.7655456502076897
small,False,False,FEED,0.41623829130433077,1.0101847963646196,0.3651117602603778,0.6348882397396223,0.1999722663629172,0.8000277336370828
small,False,False,BUY,0.697593146461664,0.9756430669184085,0.445115092330515,0.5548849076694851,0.20932246375195732,0.7906775362480426
small,False,False,CATCH,0.6520611001668176,0.9814441641376629,0.42264815981576137,0.5773518401842387,0.20467840211857585,0.7953215978814242
small,False,False,DELIVER,0.6572450964314539,0.9812161070959093,0.4335027914913856,0.5664972085086144,0.2107529098682049,0.7892470901317951
small,False,False,THROW,0.6663332325012252,0.9780619971965417,0.4306064478016471,0.569393552198353,0.22072913444513362,0.7792708655548664
small,False,False,PROMISE,0.3389881467209069,1.0204965975088982,0.35245470543772356,0.6475452945622764,0.19640472776494197,0.8035952722350581
