size,pronoun,squared,target_verb,PD-PD_slope,PD-PD_intercept,DO-PD_slope,DO-PD_intercept,PD-PD_R2,PD-PD_RMSE,DO-PD_R2,DO-PD_RMSE
small,False,True,CATCH,0.15375586074115286,0.6513379633164096,-0.31710872961879005,0.6347461032028753,0.0951908069779347,0.09010470362397584,0.4642724319125412,0.0647483242583002
small,False,True,DELIVER,0.2651123002626737,0.4198920595873738,-0.06301722037952441,0.3809290381414077,0.1946461866505561,0.10256272176579166,0.0745113073780167,0.04223990759418104
small,False,True,THROW,-0.09416835762101379,0.7540424412583552,-0.21652341813593762,0.5471358647718526,0.13085788999824177,0.04620046038864312,0.5081405117344553,0.040553594929575096
small,False,True,PROMISE,-0.12752931429009173,0.4631957206021713,2.296453891427632e-05,0.12177585983762675,0.10493183774930259,0.06299060712139287,1.237329949610455e-08,0.0349145393406387
small,False,False,BRING,-0.04215213478548424,0.9192594242237005,-0.1695522383038288,0.7829811109648789,0.11209722365116137,0.02255743216290494,0.44105443433854896,0.03629334486455514
small,False,False,DRAW,0.05548016203361863,0.8500992763798925,-0.22466489285762223,0.8295183072918874,0.06357450394567832,0.04040481159513348,0.4615875667347994,0.04604324696177545
small,False,False,FIND,0.03817856893874612,0.8880372034763089,-0.2299644800693855,0.8907805198692211,0.05295903635503729,0.03064446072726522,0.49909264071880155,0.043728731193241166
small,False,False,GET,0.11304970705921144,0.6735279979348084,-0.23047481352227692,0.6676485015729289,0.11216706680090183,0.06041082014215776,0.551174127083556,0.03950302463248485
small,False,False,GIVE,-0.054446958384852535,0.6114061847408078,0.03520703672539195,0.35299875810251935,0.06323504582776751,0.0372265395930543,0.04379806664913288,0.029222640682697285
small,False,False,KEEP,0.060987575615661316,0.8323234518054161,-0.18433388377379556,0.8274128650387255,0.1247639236331044,0.0305355950110557,0.5636091357023207,0.0306620304588177
small,False,False,LEAVE,0.038748474451179925,0.9131464905874142,-0.2121757448166123,0.9146994387690592,0.09711896159154343,0.022209825178079328,0.5839756408317958,0.033665496960567816
small,False,False,MAKE,0.032734514270673205,0.8574939093625294,-0.16557046025519326,0.8469707426659219,0.0425702121357493,0.02959149750518866,0.4913842509363503,0.03210906235219073
small,False,False,PURCHASE,0.026545420500097613,0.9521993823121059,-0.20656141441026424,0.945170863168996,0.09968859928872797,0.014767070154698426,0.28874410688168606,0.060011802850870224
small,False,False,SAVE,0.029246711692270524,0.9116729760701013,-0.1765697480514112,0.9033076903647235,0.042007285812666884,0.02621392590004186,0.4419157344205231,0.03724197337731195
small,False,False,SELL,-0.028313864537635205,0.9458006091339809,-0.07598609593114702,0.8234978626243201,0.08245483506450169,0.017859183788640712,0.16059086356730745,0.0328486371271888
small,False,False,SEND,-0.06610038815037803,0.8845900784339867,-0.020878532735354595,0.6014617061057969,0.11676593574036354,0.03457233367265288,0.007596970907625011,0.04538043418549436
small,False,False,SHOW,-0.13557579644498136,0.5678468549964635,0.024589374310422473,0.20164075156624262,0.12317930743581074,0.06369739876674224,0.02444157855704754,0.027356624553905806
small,False,False,SUPPLY,-0.05373014340495932,0.9261883336841557,-0.10956895418144004,0.6997242945911376,0.1426874975545933,0.024961322047903276,0.20441821052917142,0.040967843906870915
small,False,False,DESIGN,0.007090913734402876,0.9877922206313995,-0.07306599033590877,1.0140390823727299,0.20293307016761541,0.0025694877801850226,0.5414802893791045,0.01229352209234905
small,False,False,TAKE,-0.01867189528291304,0.9775031660031013,-0.1397552775081463,0.9395691228577816,0.14915687325768023,0.008289014543750955,0.35179491269415775,0.03526070924549363
small,False,False,FEED,-0.09883255829465831,0.5997245128729732,-0.005127674574766771,0.2712038104013265,0.09769022249332227,0.05319777699060957,0.0006219129527849088,0.0364050582478428
small,False,False,BUY,0.14624835862678262,0.6711080278686591,-0.24769610570544573,0.6447230794502903,0.13467476562826908,0.07073776714707133,0.4186394716460454,0.05569749191502338
small,False,False,CATCH,0.1255089288977567,0.6561930301971078,-0.2855413359017429,0.6569845600653181,0.09492181894076812,0.07366639727553738,0.47385553098833477,0.05719173876048442
small,False,False,DELIVER,0.20279780808577516,0.46718797674917584,-0.04992024980627294,0.40126406273955084,0.1844249412012996,0.08111004598371903,0.05993374185623923,0.03760187796431234
small,False,False,THROW,-0.07715220610334601,0.7195124393503581,-0.18586339455916062,0.5312687854472764,0.11192429302309581,0.04137204915739545,0.4729409648082069,0.03735217516045125
small,False,False,PROMISE,-0.1183973571888775,0.4569732542801497,0.005754393779322535,0.14744914955174418,0.1363830279817443,0.050386452542353424,0.000887902781913863,0.032644899253315034
