size,pronoun,squared,prime_verb,pd_bias,pd_bias_ratio,target_verb,DO-DO,DO-PD,PD-DO,PD-PD
small,False,False,SAVE,0.8954584072586842,0.9419733086036101,FEED,0.6956796350015366,0.3043203649984632,0.46565492472143766,0.5343450752785625
small,False,False,SAVE,0.8954584072586842,0.9419733086036101,BUY,0.5711046810682177,0.4288953189317823,0.1632464467442526,0.8367535532557474
small,False,False,SAVE,0.8954584072586842,0.9419733086036101,CATCH,0.6197989054703698,0.38020109452963025,0.20720776666590157,0.7927922333340984
small,False,False,SAVE,0.8954584072586842,0.9419733086036101,DELIVER,0.653632029436178,0.3463679705638219,0.33174446456630746,0.6682555354336925
small,False,False,SAVE,0.8954584072586842,0.9419733086036101,THROW,0.6563327125876941,0.34366728741230596,0.3855834777359768,0.6144165222640232
small,False,False,SAVE,0.8954584072586842,0.9419733086036101,PROMISE,0.8465945152838682,0.15340548471613175,0.6537273905264498,0.34627260947355043
small,False,False,SELL,0.8577945864583786,0.9468297523013812,BRING,0.35231726688244147,0.6476827331175585,0.1017967849174121,0.8982032150825878
small,False,False,SELL,0.8577945864583786,0.9468297523013812,DRAW,0.28502204488521804,0.7149779551147819,0.15625312942531555,0.8437468705746843
small,False,False,SELL,0.8577945864583786,0.9468297523013812,FIND,0.25121267116838203,0.7487873288316179,0.11604104489206168,0.8839589551079382
small,False,False,SELL,0.8577945864583786,0.9468297523013812,GET,0.49600995552327065,0.5039900444767293,0.3241444253380169,0.6758555746619831
small,False,False,SELL,0.8577945864583786,0.9468297523013812,GIVE,0.6118972666021316,0.3881027333978684,0.3730449904567191,0.626955009543281
small,False,False,SELL,0.8577945864583786,0.9468297523013812,KEEP,0.2861119717820851,0.7138880282179149,0.1671804809305482,0.8328195190694516
small,False,False,SELL,0.8577945864583786,0.9468297523013812,LEAVE,0.22468257285268536,0.7753174271473146,0.0845174174096296,0.9154825825903703
small,False,False,SELL,0.8577945864583786,0.9468297523013812,MAKE,0.23201598564611192,0.767984014353888,0.16070825685103415,0.8392917431489658
small,False,False,SELL,0.8577945864583786,0.9468297523013812,PURCHASE,0.25046023938905265,0.7495397606109475,0.04756756245841692,0.952432437541583
small,False,False,SELL,0.8577945864583786,0.9468297523013812,SAVE,0.20454236435485312,0.7954576356451468,0.09406840909383204,0.9059315909061679
small,False,False,SELL,0.8577945864583786,0.9468297523013812,SEND,0.4067543581121631,0.5932456418878368,0.13454359087999118,0.8654564091200089
small,False,False,SELL,0.8577945864583786,0.9468297523013812,SHOW,0.8021482960892748,0.197851703910725,0.4757889624155707,0.5242110375844292
small,False,False,SELL,0.8577945864583786,0.9468297523013812,SUPPLY,0.44238041179589405,0.557619588204106,0.07659050437283332,0.9234094956271668
small,False,False,SELL,0.8577945864583786,0.9468297523013812,DESIGN,0.03414274838556309,0.9658572516144369,0.009805639002117505,0.9901943609978825
small,False,False,SELL,0.8577945864583786,0.9468297523013812,TAKE,0.11806848694097559,0.8819315130590243,0.040097160821574336,0.9599028391784258
small,False,False,SELL,0.8577945864583786,0.9468297523013812,FEED,0.7784623216241411,0.22153767837585897,0.42430005931128434,0.5756999406887157
small,False,False,SELL,0.8577945864583786,0.9468297523013812,BUY,0.6365611067188129,0.36343889328118695,0.3177873071054368,0.6822126928945632
